Unnamed: 0,timestamp,Project-ID,Section-ID,Section-Title,Section-Outline-Level,Section-Index,Section-Status,Verb,Actor-Name,Version-Changelog,Version-ID,Media-ID,Media-Caption,Message-ID,Annotation-ID,Object-Type,Research-Task-Type,Case-ID,Deadline
7fc43080-c604-4bf0-959c-e1edddaaca19,2024-10-07T18:18:00.000Z,1,2,Literature Review,0,2,,typed,Henry,,,,,,,comment,Analysieren,,
550feed1-561b-4b77-928a-44f0f0b81dca,2024-10-07T19:28:00.000Z,1,7,Reflection & Lessons,1,7,WIP,started editing of,Theo,,,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
d35949b1-c7c3-4f7d-9d53-52d8090dc332,2024-10-07T19:28:00.000Z,2,2,Stakeholder Analysis,1,2,WIP,started editing of,Nora,,,,,,,section,Analysieren,,
fafd3767-e481-4783-9156-d8848aa278ca,2024-10-07T19:28:00.000Z,1,2,Literature Review,1,2,WIP,started editing of,Levi,,,,,,,section,Analysieren,,
7251b799-dd84-4475-9e43-a71298969e91,2024-10-07T19:35:00.000Z,1,7,Reflection & Lessons,1,7,WIP,created,Theo,Adjusted scope to urban focus after initial exploration.,41,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
df4d1201-8a49-40d6-a828-5b34c032c4db,2024-10-07T19:35:00.000Z,2,2,Stakeholder Analysis,1,2,WIP,created,Nora,Shifted focus away from broader accessibility issues to a specific subset—mobility devices—to maintain feasibility.,60,,,,,section,Analysieren,,
60ca9639-b6ec-4a02-9aaf-461b135afa47,2024-10-07T19:35:00.000Z,1,2,Literature Review,1,2,WIP,created,Levi,Added examples from key studies to support usability emphasis.,148,,,,,section,Analysieren,,
3bcb1c4b-14a4-4e94-b18c-9ac22a2ee35f,2024-10-07T21:12:00.000Z,1,1,Problem Definition,0,1,,created,Samuel,,,,,434,,message,Erheben,,
b470b428-f59a-47b0-83ea-fb1c0fb96de7,2024-10-07T21:58:00.000Z,1,1,Problem Definition,0,1,,opened,Theo,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
bb67dba3-03ed-4de7-8f33-49644c78f7fa,2024-10-07T21:58:00.000Z,2,1,Problem Definition,0,1,,opened,Nora,,,,,,,text,Erheben,,2024-10-31T23:59:59.000Z
c5f0ba1c-4b94-43f3-8b64-0e131c433f05,2024-10-07T21:58:00.000Z,1,1,Problem Definition,0,1,,read,Levi,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
c4fdfed2-c628-4c82-bac4-601670eb6b0b,2024-10-07T22:35:00.000Z,1,2,Literature Review,1,2,WIP,started editing of,Hazel,,,,,,,section,Analysieren,,2024-12-24T23:59:59.000Z
b093d647-ec4d-469e-aa3a-0313b6f61f7e,2024-10-07T22:42:00.000Z,1,2,Literature Review,1,2,WIP,created,Hazel,"Drafted initial problem framing, added user pain points.",128,,,,,section,Analysieren,,2024-12-24T23:59:59.000Z
082c9c17-57a0-40bd-838c-5edb99bfa119,2024-10-07T23:18:00.000Z,1,2,Literature Review,0,2,,created,Clara,,,,,242,,message,Analysieren,,2024-10-31T23:59:59.000Z
5b3d652e-fbb1-4a7d-8655-68436c270b43,2024-10-08T00:05:00.000Z,1,1,Problem Definition,0,1,,opened,Hazel,,,,,,,file,Erheben,,2024-10-31T23:59:59.000Z
31168535-6ce5-4789-aab2-93b9a86045fa,2024-10-08T02:11:00.000Z,1,1,Problem Definition,0,1,,started editing of,Ruby,,,,,,,draft,Erheben,,2024-10-31T23:59:59.000Z
bb55285e-59b5-4986-bd48-f7690d16d95d,2024-10-08T02:58:00.000Z,2,1,Problem Definition,0,1,,created,Noah,,,,,17,,message,Erheben,,2024-10-31T23:59:59.000Z
400964ad-52b2-4482-874e-c83a04a12cd2,2024-10-08T02:58:00.000Z,1,1,Problem Definition,0,1,,created,Nina,,,,,195,,message,Erheben,,2025-01-31T23:59:59.000Z
07c6b6fd-9982-458e-a3be-be5238ed8b3f,2024-10-08T18:05:00.000Z,1,1,Problem Definition,0,1,,created,Chloe,,,,,75,,message,Erheben,,2024-10-31T23:59:59.000Z
22b44dab-94a3-43f8-bad7-2bbc241fb3ec,2024-10-08T18:18:00.000Z,2,1,Problem Definition,0,1,,typed,Rowan,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
a2b33473-e8ae-4be7-8511-7ddb696ae241,2024-10-08T18:43:00.000Z,2,1,Problem Definition,0,1,,expanded,Nathan,,,,,,,discussion,Erheben,,
a9b9a386-0ec3-4318-a321-0697b96d151b,2024-10-08T19:28:00.000Z,1,7,Reflection & Lessons,1,7,WIP,started editing of,Milo,,,,,,,section,Analysieren,,
12cfa301-c84f-42c7-8fe0-77878807a151,2024-10-08T19:35:00.000Z,1,7,Reflection & Lessons,1,7,WIP,created,Milo,Added focus on environmental stressors as overlooked factors.,174,,,,,section,Analysieren,,
c1059365-acd3-493f-a0ec-a358b868affc,2024-10-08T20:42:00.000Z,1,4,Data Collection & Analysis,0,4,,created,Julian,,,40,,,59,comment,Analysieren,,2024-10-31T23:59:59.000Z
057c6a53-2e09-40ff-af68-292060962ca4,2024-10-08T21:10:00.000Z,2,1,Problem Definition,0,1,,created,Isaac,,,,,118,,message,Erheben,,
89d57bff-f7be-49a4-a3ff-305828993d29,2024-10-08T21:58:00.000Z,1,1,Problem Definition,0,1,,typed,Milo,,,,,,,message,Erheben,,2025-01-31T23:59:59.000Z
a84d4de9-84c4-4363-97b4-eb919b8f288e,2024-10-09T02:11:00.000Z,1,1,Problem Definition,0,1,,saved draft,Evan,,,,,,,text,Erheben,,2024-10-31T23:59:59.000Z
d6cae9f1-49f2-4cd1-a19c-93c1646e24c4,2024-10-09T18:18:00.000Z,1,2,Literature Review,0,2,,viewed,Sarah,,,,,,,folder,Analysieren,,
070c74a3-b5ee-4a8d-84c9-ea97f5e6164f,2024-10-09T18:51:00.000Z,1,1,Problem Definition,0,1,,opened,Zoe,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
a9c66f18-d6a8-4385-9c51-266d8baa9f5d,2024-10-09T18:51:00.000Z,2,1,Problem Definition,0,1,,opened,Kai,,,,,,,section,Erheben,,2025-01-31T23:59:59.000Z
04422ba8-dc47-4ccf-a8f9-23bb8dbd5918,2024-10-09T18:51:00.000Z,1,1,Problem Definition,0,1,,typed,Ben,,,,,,,text,Erheben,,2024-10-31T23:59:59.000Z
1cab37d6-f6ef-48a3-8190-9691383311eb,2024-10-09T19:28:00.000Z,2,7,Reflection,1,7,WIP,started editing of,Jack,,,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
a0ce4096-5e68-42bb-b8c4-db77570b09e3,2024-10-09T19:35:00.000Z,2,7,Reflection,1,7,WIP,created,Jack,Initial thoughts written down after reviewing the prompt.,253,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
4ad4d377-414d-4883-a8b2-4f3364760342,2024-10-09T20:36:00.000Z,2,1,Problem Definition,0,1,,created,Henry,,,,,380,,message,Erheben,,
c7e1de58-ec4b-403a-8eed-e86b6fcd3be1,2024-10-09T21:58:00.000Z,2,1,Problem Definition,0,1,,opened,Jack,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
d7d592ea-e0da-4958-9619-e2d827bd630d,2024-10-10T01:42:00.000Z,1,7,Reflection & Lessons,1,7,WIP,started editing of,Nathan,,,,,,,section,Analysieren,,
edacac5b-53ef-4ea8-9dab-d42251038c2d,2024-10-10T01:49:00.000Z,1,7,Reflection & Lessons,1,7,WIP,created,Nathan,Clarified focus on small office environments.,318,,,,,section,Analysieren,,
9c4621e9-1e31-4b35-9124-5d12a714b782,2024-10-10T02:11:00.000Z,2,1,Problem Definition,0,1,,typed,Finn,,,,,,,note,Erheben,,2025-01-31T23:59:59.000Z
60a93c07-32d9-4c5d-9b5b-f0602df3b284,2024-10-10T02:25:00.000Z,1,2,Literature Review,0,2,,created,Amelia,,,,,420,,message,Analysieren,,
00424915-7691-4656-914a-5df541d6d77e,2024-10-10T02:58:00.000Z,1,1,Problem Definition,0,1,,created,Maya,,,,,223,,message,Erheben,,2024-10-31T23:59:59.000Z
26526d7a-e2a8-48b4-8443-7bbb094b5b5c,2024-10-10T03:12:00.000Z,1,1,Problem Definition,0,1,,opened,Nathan,,,,,,,document,Erheben,,2024-10-31T23:59:59.000Z
43c6e289-ee01-40e5-b956-6a6e447b379e,2024-10-10T03:21:00.000Z,1,7,Reflection & Lessons,1,7,WIP,started editing of,Zoe,,,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
39d2aada-bbfb-447a-b877-7656f5b37559,2024-10-10T03:21:00.000Z,2,7,Reflection,1,7,WIP,started editing of,Kai,,,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
f8be3bc8-899d-432f-b66d-6d939eaea86b,2024-10-10T03:21:00.000Z,1,7,Reflection & Lessons,1,7,WIP,started editing of,Ben,,,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
3654f97e-b4ba-4fef-806e-8d0acfe5a42b,2024-10-10T03:28:00.000Z,1,7,Reflection & Lessons,1,7,WIP,created,Zoe,Initial draft with notes on source relevance and gaps.,74,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
88a34667-afa0-42d4-9546-752bf2034f12,2024-10-10T03:28:00.000Z,2,7,Reflection,1,7,WIP,created,Kai,Added emphasis on emotional impact of decision-making stress.,161,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
08c17194-ac77-4463-a4af-7748509aad5c,2024-10-10T03:28:00.000Z,1,7,Reflection & Lessons,1,7,WIP,created,Ben,"Added initial thoughts on problem focus, might need to refine scope.",241,,,,,section,Analysieren,,2025-02-14T23:59:59.000Z
f9ff1db2-6dfe-4724-80b6-3a3ebeb2f314,2024-10-10T04:17:00.000Z,2,3,Literature Review,0,3,,viewed,Leo,,,,,,,text,Analysieren,,2024-10-31T23:59:59.000Z
e52413bf-1498-4809-853a-0763062395c5,2024-10-10T04:20:00.000Z,1,5,Solution Design,1,5,WIP,updated,MiMA,Added instructor scaffold,5,,,,,section,Synthetisieren,,
8c0fe140-4357-47e7-9ba1-eacc4835421f,2024-10-10T04:31:00.000Z,2,1,Problem Definition,0,1,,created,Alice,,,,,328,,message,Erheben,,
94723e7b-b10c-48f7-a790-d863e406314e,2024-10-10T18:05:00.000Z,1,1,Problem Definition,0,1,,created,Henry,,,,,373,,message,Erheben,,2024-10-31T23:59:59.000Z
